CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595111;492;30;197879;190843;8;690811 
4595165;310;33;197588;190909;4;690808 
4595110;298;54;197605;190917;5;690810 
4595475;625;27;197780;190856;7;690810 
4595427;445;31;197715;191064;4;690812 
4597912;675;46;200270;190832;11;690811 
4595399;370;20;197995;190845;7;690808 
4595193;364;51;197795;190855;5;690809 
4594928;494;43;197846;190663;8;690809 
4595283;254;39;197575;191131;5;690808 
4594774;172;8;197552;190782;5;690806 
4595417;578;12;197892;190811;5;690807 
4595723;480;17;198104;190864;15;690807 
4594994;255;17;197756;190769;5;690807 
4594951;276;23;197778;190764;4;690808 
4595768;381;35;198166;190990;9;690810 
4595464;401;25;197683;191006;6;690809 
4595277;606;31;197925;190825;6;690812 
4595433;465;68;197632;191207;4;690812 
4596016;585;61;198126;191013;8;690813 
4595609;499;32;197888;190964;11;690810 
4595164;307;22;197737;190915;5;690809 
4595032;314;34;197623;190914;7;690808 
4595307;366;27;197813;190915;5;690809 
4595102;292;13;197762;190818;4;690807 
4595157;303;4;197693;190816;5;690806 
4595078;241;8;197704;190802;12;690806 
4595826;510;74;197854;191194;16;690818 
4595332;526;31;198043;190762;6;690811 
4595027;316;21;197744;190785;4;690808 
4595146;452;33;197639;190829;4;690809 
4596334;375;62;198824;190952;4;690810 
4595591;407;33;198041;191052;14;690812 
4595515;305;30;197919;190974;6;690811 
4595817;409;43;198104;191044;10;690811 
4596068;377;30;198543;190951;7;690810 
4595043;293;34;197760;190873;14;690808 
4595228;483;36;197884;190776;8;690808 
4595507;529;17;197925;190864;11;690809 
4595531;332;51;197863;191049;5;690810 
4595249;261;17;197603;190942;3;690808 
4595129;450;8;197540;190804;5;690806 
4595284;346;17;197772;190816;14;690807 
4594932;294;21;197790;190725;5;690807 
4595163;357;8;197858;190726;6;690806 
4595221;464;34;197773;190847;5;690809 
4596336;359;54;199002;190810;6;690811 
4595957;1170;27;197983;190779;7;690810 
4595500;362;33;198080;190943;10;690809 
4596637;469;51;197967;191961;5;690812 
4598738;674;43;200657;191131;10;690813 
4595687;422;50;197940;191066;6;690812 
4595032;305;35;197587;190910;5;690808 
4595058;234;25;197904;190770;10;690808 
4595020;392;31;197654;190781;4;690809 
4595097;315;17;197776;190821;5;690808 
4595185;338;9;197691;190807;4;690806 
4595157;272;9;197715;190825;4;690806 
4595294;354;16;197965;190808;8;690807 
4595040;477;31;197642;190807;6;690809 
4595191;281;27;197761;190888;5;690809 
4595217;341;24;197758;190848;5;690808 
4595456;510;42;198205;190792;10;690812 
4595637;468;32;198101;190910;9;690810 
4595389;502;50;197810;190955;5;690811 
4595454;510;31;197804;190918;5;690810 
4595428;361;51;198044;190836;9;690809 
4596490;1521;21;197731;190959;7;690808 
4595291;362;34;197899;190920;6;690808 
4595142;231;43;197866;190801;5;690807 
4594976;306;16;197639;190796;4;690807 
4595129;244;9;198012;190712;15;690806 
4595193;418;8;197842;190736;7;690806 
4595296;340;9;197872;190796;6;690806 
4595829;364;27;198436;190895;10;690809 
4595715;318;45;198093;191021;8;690810 
4594743;289;26;197612;190730;5;690808 
4595350;389;27;197640;191049;6;690809 
4595468;374;35;197938;190966;5;690811 
4596086;328;57;198819;190858;9;690811 
4595007;345;43;197627;190826;4;690812 
4595393;259;34;197916;190912;6;690808 
4594885;367;25;197862;190791;11;690809 
4594870;266;48;197581;190813;5;690808 
4595464;433;16;197733;190995;7;690807 
4595382;399;5;197861;190820;6;690806 
4595202;427;12;197801;190808;7;690807 
4595005;362;9;197554;190785;4;690806 
4594971;232;17;197612;190811;6;690807 
4595248;317;47;197777;190886;5;690808 
4596251;556;30;198468;190973;9;690810 
4595381;455;22;198051;190777;10;690808 
4595307;350;54;197936;190907;10;690810 
4594839;447;43;197648;190803;3;690812 
4595577;531;47;198060;190882;6;690813 
4595086;325;56;197795;190807;6;690811 
4595608;346;49;197943;190971;16;690808 
4595194;351;31;198004;190784;6;690809 
4595426;427;37;197860;190979;6;690809 
4595026;238;5;197693;190819;5;690806 
4595188;268;9;197931;190747;7;690806 
4596260;267;16;198791;190932;6;690807 
4595690;626;8;197962;190869;7;690808 
4594542;308;31;197768;190643;4;690809 
4595121;356;27;197766;190817;5;690808 
4595810;415;36;198110;190968;9;690810 
4595437;506;31;197867;190926;9;690811 
4595672;503;30;198075;190925;9;690814 
4596435;421;60;199134;190799;6;690810 
4596060;486;44;198489;191028;13;690813 
4595566;675;21;197878;190938;13;690809 
4595468;441;23;197798;190935;9;690808 
4594957;332;34;197733;190767;4;690808 
4595180;338;29;197832;190889;4;690808 
4595049;227;9;197690;190801;5;690806 
4595415;340;191;197745;190855;6;690807 
4595055;250;8;197692;190793;13;690806 
4596036;363;25;198433;190954;11;690810 
4595748;478;25;198086;190974;7;690811 
4595468;413;41;197764;190931;7;690809 
4594949;304;24;197770;190803;6;690810 
4596162;460;54;198565;191031;12;690811 
4595367;378;52;197657;191050;4;690811 
4596207;364;59;198564;190997;9;690811 
4594715;306;34;197771;190664;6;690808 
4595263;362;25;197853;190889;7;690809 
4595250;310;47;197607;190953;6;690808 
4595101;231;16;197725;190963;6;690807 
4595067;237;4;197689;190817;10;690806 
4595099;377;17;197924;190717;17;690807 
4595122;373;8;197690;190772;5;690806 
4595156;276;21;197887;190795;15;690808 
4595085;339;26;197836;190789;5;690809 
4595640;359;33;198271;190903;8;690810 
4595486;450;22;197772;190923;7;690808 
4595255;337;55;197774;190995;7;690811 
4595587;575;43;198015;190962;7;690812 
4595525;556;49;197690;191067;7;690813 
4595199;309;34;197791;190911;5;690809 
4594980;398;34;197786;190669;7;690808 
4595495;520;30;197910;190868;9;690809 
4595248;393;25;197819;190985;6;690809 
4595168;210;9;197708;190854;4;690806 
4595147;232;10;197692;190847;13;690806 
4595220;361;17;197846;190822;8;690808 
4595200;396;12;197678;190853;6;690807 
4595397;287;32;198209;190803;8;690810 
4596395;406;47;198907;190863;9;690808 
4595792;392;31;198276;190907;16;690810 
4595601;457;49;197951;190990;8;690813 
4595960;405;21;197979;191251;6;690812 
4595861;510;36;198070;190995;8;690810 
4595667;425;34;198029;191016;7;690811 
4595044;313;29;197832;190835;4;690809 
4595101;430;34;197580;190886;5;690808 
4595200;315;27;197764;190930;6;690808 
4595221;295;13;197798;190870;5;690807 
4595060;207;8;197704;190797;4;690806 
4594614;238;9;197694;190643;6;690806 
4595047;244;10;197692;190803;6;690806 
4595875;380;26;198924;190728;12;690809 
4595084;313;31;197924;190778;7;690809 
4595263;318;44;197752;190874;6;690808 
4595072;378;49;197791;190774;4;690810 
4595205;414;30;197724;190962;4;690812 
4595470;574;34;197823;190910;7;690811 
4595271;327;37;197778;191033;6;690810 
4595288;465;21;197912;190807;7;690809 
4595508;427;48;197816;190983;9;690809 
4595201;553;34;197600;190830;5;690809 
4595080;228;10;197691;190804;5;690806 
4595337;363;13;198032;190730;16;690806 
4595237;325;12;197789;190856;4;690807 
4595099;264;4;197692;190809;6;690806 
4595664;304;28;197956;191191;9;690809 
4595444;314;26;198221;190868;20;690809 
4595846;360;33;198181;191036;10;690810 
4595072;406;22;197587;190817;6;690808 
4595191;322;66;197958;190874;7;690811 
4595569;349;38;198101;190991;5;690813 
4595211;349;45;197745;190975;3;690813 
4595350;362;34;197778;190914;14;690809 
4595495;502;21;197778;190886;8;690808 
4595491;326;53;197889;190975;6;690809 
4595013;308;21;197735;190812;6;690808 
4594925;234;9;197693;190758;6;690806 
4595276;299;17;197752;190859;15;690807 
4595460;356;21;197939;190871;15;690807 
4595241;306;10;197696;190834;5;690806 
